rowid	id_loan	id_direct_loantaker	name_direct_loantaker	id_intermediate_parent_1	name_intermediate_parent_1	id_ultimate_parent	name_ultimate_parent	loan_size_outstanding	loan_size_outstanding_currency	loan_size_credit_limit	loan_size_credit_limit_currency	sector_classification_system	sector_classification_input_type	sector_classification_direct_loantaker	fi_type	flag_project_finance_loan	name_project	lei_direct_loantaker	isin_direct_loantaker	chunk	id_2dii	level	sector	sector_ald	name	name_ald	score	source
1	L1	C294	Yuamen Xinneng Thermal Power Co Ltd	NA	NA	UP15	Alpine Knits India Pvt. Limited	225625	EUR	18968805	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	UP7	ultimate_parent	power	power	Alpine Knits India Pvt. Limited	alpine knits india pvt. limited	1	loanbook
3	L3	C292	Yuama Ethanol Llc	IP5	Yuama Inc.	UP288	University Of Iowa	410297	EUR	20811147	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	IP14	intermediate_parent_1	power	power	Yuama Inc.	ykk usa, inc.	0.8433333333333334	loanbook
3	L3	C292	Yuama Ethanol Llc	IP5	Yuama Inc.	UP288	University Of Iowa	410297	EUR	20811147	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	UP101	ultimate_parent	power	power	University Of Iowa	university of iowa	1	loanbook
5	L5	C305	Yukon Energy Corp 1736	NA	NA	UP104	Garland Power & Light	406585	EUR	20774115	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	DL106	direct_loantaker	power	power	Yukon Energy Corp 1736	yukon development corp	0.8129257838935258	loanbook
5	L5	C305	Yukon Energy Corp 1736	NA	NA	UP104	Garland Power & Light	406585	EUR	20774115	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	UP46	ultimate_parent	power	power	Garland Power & Light	garland power & light	1	loanbook
6	L6	C304	Yukon Development Corp	NA	NA	UP83	Earthpower Technologies Sydney Pty Ltd	185721	EUR	18570711	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	DL105	direct_loantaker	power	power	Yukon Development Corp	yukon development corp	1	loanbook
6	L6	C304	Yukon Development Corp	NA	NA	UP83	Earthpower Technologies Sydney Pty Ltd	185721	EUR	18570711	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	UP36	ultimate_parent	power	power	Earthpower Technologies Sydney Pty Ltd	earthpower technologies sydney pty ltd	1	loanbook
8	L8	C303	Yueyang City Construction	NA	NA	UP163	Kraftwerk Mehrum Gmbh	291513	EUR	19626123	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	UP63	ultimate_parent	power	power	Kraftwerk Mehrum Gmbh	kraftwerk mehrum gmbh	1	loanbook
9	L9	C301	Yuedxiu Corp One	IP10	Yuedxiu Group	UP138	Jai Bharat Gum & Chemicals Ltd.	407513	EUR	20783373	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	UP55	ultimate_parent	power	power	Jai Bharat Gum & Chemicals Ltd.	jai bharat gum & chemicals ltd.	1	loanbook
10	L10	C302	Yuexi County AAAA Xingguang Electricity Development Co. Ltd.	NA	NA	UP32	Bhagwan Energy Ltd.	186649	EUR	18579969	EUR	"NACE"	Code	3511	Loan	No	NA	NA	NA	1	UP13	ultimate_parent	power	power	Bhagwan Energy Ltd.	bhagwan energy ltd.	1	loanbook
