rowid	id_ultimate_parent	name_ultimate_parent	id_direct_loantaker	name_direct_loantaker	sector_classification_system	sector_classification_direct_loantaker	chunk	id_2dii	level	sector	sector_ald	name	name_ald	score	source
1	UP15	Alpine Knits India Pvt. Limited	C294	Yuamen Xinneng Thermal Power Co Ltd	"NACE"	3511	1	UP4	ultimate_parent	power	power	Alpine Knits India Pvt. Limited	alpine knits india pvt. limited	1	loanbook
3	UP288	University Of Iowa	C292	Yuama Ethanol Llc	"NACE"	3511	1	UP30	ultimate_parent	power	power	University Of Iowa	university of iowa	1	loanbook
5	UP104	Garland Power & Light	C305	Yukon Energy Corp 1736	"NACE"	3511	1	UP17	ultimate_parent	power	power	Garland Power & Light	garland power & light	1	loanbook
5	UP104	Garland Power & Light	C305	Yukon Energy Corp 1736	"NACE"	3511	1	DL31	direct_loantaker	power	power	Yukon Energy Corp 1736	yukon development corp	0.8129257838935258	loanbook
6	UP83	Earthpower Technologies Sydney Pty Ltd	C304	Yukon Development Corp	"NACE"	3511	1	UP15	ultimate_parent	power	power	Earthpower Technologies Sydney Pty Ltd	earthpower technologies sydney pty ltd	1	loanbook
6	UP83	Earthpower Technologies Sydney Pty Ltd	C304	Yukon Development Corp	"NACE"	3511	1	DL30	direct_loantaker	power	power	Yukon Development Corp	yukon development corp	1	loanbook
8	UP163	Kraftwerk Mehrum Gmbh	C303	Yueyang City Construction	"NACE"	3511	1	UP22	ultimate_parent	power	power	Kraftwerk Mehrum Gmbh	kraftwerk mehrum gmbh	1	loanbook
9	UP138	Jai Bharat Gum & Chemicals Ltd.	C301	Yuedxiu Corp One	"NACE"	3511	1	UP21	ultimate_parent	power	power	Jai Bharat Gum & Chemicals Ltd.	jai bharat gum & chemicals ltd.	1	loanbook
10	UP32	Bhagwan Energy Ltd.	C302	Yuexi County AAAA Xingguang Electricity Development Co. Ltd.	"NACE"	3511	1	UP5	ultimate_parent	power	power	Bhagwan Energy Ltd.	bhagwan energy ltd.	1	loanbook
11	UP81	Dynegy Midwest Generation, Inc.	C309	Yuxi ounty Liuan dropower elopment C. L	"NACE"	3511	1	UP14	ultimate_parent	power	power	Dynegy Midwest Generation, Inc.	dynegy midwest generation, inc.	1	loanbook
12	UP269	Summit Meghnaghat Power Co. Ltd.	C298	Yuba vdf County Water Agency	"NACE"	3511	1	UP29	ultimate_parent	power	power	Summit Meghnaghat Power Co. Ltd.	summit meghnaghat power co. ltd.	1	loanbook
13	UP69	Consorcio Integrador Sonora80m	C297	Yuba City Cogeneration Partners Lp	"NACE"	3511	1	UP12	ultimate_parent	power	power	Consorcio Integrador Sonora80m	consorcio integrador sonora80m	1	loanbook
13	UP69	Consorcio Integrador Sonora80m	C297	Yuba City Cogeneration Partners Lp	"NACE"	3511	1	DL24	direct_loantaker	power	power	Yuba City Cogeneration Partners Lp	yuba city cogeneration partners lp	1	loanbook
14	UP3	Affinity Renewables Inc.	C296	Yuasfnjiang Elecdtric Psower Corpo	"NACE"	3511	1	UP1	ultimate_parent	power	power	Affinity Renewables Inc.	affinity renewables inc.	1	loanbook
15	UP196	Noshiro Forest Resources Utilization Cooperative Association	C295	Yuanbsaoshan Power Generation Co Ltd	"NACE"	3511	1	UP26	ultimate_parent	power	power	Noshiro Forest Resources Utilization Cooperative Association	noshiro forest resources utilization cooperative association	1	loanbook
15	UP196	Noshiro Forest Resources Utilization Cooperative Association	C295	Yuanbsaoshan Power Generation Co Ltd	"NACE"	3511	1	DL22	direct_loantaker	power	power	Yuanbsaoshan Power Generation Co Ltd	aba hydropower generation co ltd	0.8094405594405594	loanbook
15	UP196	Noshiro Forest Resources Utilization Cooperative Association	C295	Yuanbsaoshan Power Generation Co Ltd	"NACE"	3511	1	DL22	direct_loantaker	power	power	Yuanbsaoshan Power Generation Co Ltd	yiyang baoyuan power generation co., ltd.	0.8492010405053884	loanbook
17	UP6	Agrenewables	C290	Yu Wsang Shaanxi Huadian Coal Co Ltd	"NACE"	3511	1	UP3	ultimate_parent	power	power	Agrenewables	agrenewables	1	loanbook
18	UP121	Helm Concentrates, Inc.	C284	Ysstterhogdals Elektriska Kraft Ab	"NACE"	3511	1	UP18	ultimate_parent	power	power	Helm Concentrates, Inc.	helm concentrates, inc.	1	loanbook
19	UP78	Domica Fpi S.R.O.	C289	Ytre Matrefd Energi As	"NACE"	3511	1	UP13	ultimate_parent	power	power	Domica Fpi S.R.O.	domica fpi s.r.o.	1	loanbook
20	UP35	Bnb Renewable Energy Holdings Llc	C287	Ytl Powerseraya Pte Ltd	"NACE"	3511	1	UP7	ultimate_parent	power	power	Bnb Renewable Energy Holdings Llc	bnb renewable energy holdings llc	1	loanbook
20	UP35	Bnb Renewable Energy Holdings Llc	C287	Ytl Powerseraya Pte Ltd	"NACE"	3511	1	DL15	direct_loantaker	power	power	Ytl Powerseraya Pte Ltd	ytl powerseraya pte ltd	1	loanbook
21	UP63	Cisa Spa	C286	Ytl Power International Bhd	"NACE"	3511	1	UP10	ultimate_parent	power	power	Cisa Spa	cisa spa	1	loanbook
21	UP63	Cisa Spa	C286	Ytl Power International Bhd	"NACE"	3511	1	DL14	direct_loantaker	power	power	Ytl Power International Bhd	ytl power international bhd	1	loanbook
