rowid	id_ultimate_parent	name_ultimate_parent	id_direct_loantaker	name_direct_loantaker	sector_classification_system	sector_classification_direct_loantaker	chunk	id_2dii	level	sector	sector_ald	name	name_ald	score	source
1	UP203	Pantanal Energetica, Ltda.	C271	York University	"NACE"	3511	2	UP24	ultimate_parent	power	power	Pantanal Energetica, Ltda.	pantanal energetica, ltda.	1	loanbook
1	UP203	Pantanal Energetica, Ltda.	C271	York University	"NACE"	3511	2	DL32	direct_loantaker	power	power	York University	york university	1	loanbook
2	UP100	Fugong Fengyuan Hydropower Development Co. Ltd.	C270	York Research Corporation	"NACE"	3511	2	UP14	ultimate_parent	power	power	Fugong Fengyuan Hydropower Development Co. Ltd.	fugong fengyuan hydropower development co. ltd.	1	loanbook
2	UP100	Fugong Fengyuan Hydropower Development Co. Ltd.	C270	York Research Corporation	"NACE"	3511	2	DL31	direct_loantaker	power	power	York Research Corporation	yorkshire windpower limited	0.8095845331139448	loanbook
2	UP100	Fugong Fengyuan Hydropower Development Co. Ltd.	C270	York Research Corporation	"NACE"	3511	2	DL31	direct_loantaker	power	power	York Research Corporation	yorkshire water services ltd	0.8152553329023917	loanbook
2	UP100	Fugong Fengyuan Hydropower Development Co. Ltd.	C270	York Research Corporation	"NACE"	3511	2	DL31	direct_loantaker	power	power	York Research Corporation	york cogeneration corporation	0.832009167303285	loanbook
3	UP173	Man Diesel Se	C269	York County Solid Waste Authority	"NACE"	3511	2	UP20	ultimate_parent	power	power	Man Diesel Se	man diesel se	1	loanbook
3	UP173	Man Diesel Se	C269	York County Solid Waste Authority	"NACE"	3511	2	DL30	direct_loantaker	power	power	York County Solid Waste Authority	york county solid waste authority	1	loanbook
4	UP109	Global Green Power Plc	C268	York Cogeneration Corporation	"NACE"	3511	2	UP15	ultimate_parent	power	power	Global Green Power Plc	global green power plc	1	loanbook
4	UP109	Global Green Power Plc	C268	York Cogeneration Corporation	"NACE"	3511	2	DL29	direct_loantaker	power	power	York Cogeneration Corporation	york cogeneration corporation	1	loanbook
